TmMin	IdleSz	NeedChgQSz	mssnQSz	NumChg	V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19
36	0	0	17	3	IN_FLIGHT-3-34	IN_FLIGHT-3-26	IN_FLIGHT-3-24	IN_FLIGHT-3-20	IN_FLIGHT-1-17	IN_FLIGHT-4-32	IN_FLIGHT-4-27	IN_FLIGHT-4-25	IN_FLIGHT-4-19	IN_FLIGHT-2-35	IN_FLIGHT-1-18	IN_FLIGHT-2-22	IN_FLIGHT-2-30	IN_FLIGHT-2-23	IN_FLIGHT-1-36	IN_FLIGHT-1-21	IN_FLIGHT-1-28	IN_FLIGHT-1-33	IN_FLIGHT-1-29	IN_FLIGHT-1-31	
37	0	0	18	3	IN_FLIGHT-3-35	IN_FLIGHT-3-27	IN_FLIGHT-3-25	IN_FLIGHT-3-21	IN_FLIGHT-1-18	IN_FLIGHT-4-33	IN_FLIGHT-4-28	IN_FLIGHT-4-26	IN_FLIGHT-4-20	IN_FLIGHT-2-36	IN_FLIGHT-1-19	IN_FLIGHT-2-23	IN_FLIGHT-2-31	IN_FLIGHT-2-24	IN_FLIGHT-1-37	IN_FLIGHT-1-22	IN_FLIGHT-1-29	IN_FLIGHT-1-34	IN_FLIGHT-1-30	IN_FLIGHT-1-32	
38	0	0	19	2	IN_FLIGHT-3-36	IN_FLIGHT-3-28	IN_FLIGHT-3-26	IN_FLIGHT-3-22	IN_FLIGHT-1-19	IN_FLIGHT-4-34	IN_FLIGHT-4-29	IN_FLIGHT-4-27	IN_FLIGHT-4-21	IN_CHARGE-0	IN_FLIGHT-1-20	IN_FLIGHT-2-24	IN_FLIGHT-2-32	IN_FLIGHT-2-25	IN_FLIGHT-1-38	IN_FLIGHT-1-23	IN_FLIGHT-1-30	IN_FLIGHT-1-35	IN_FLIGHT-1-31	IN_FLIGHT-1-33	
39	0	0	20	2	IN_FLIGHT-3-37	IN_FLIGHT-3-29	IN_FLIGHT-3-27	IN_FLIGHT-3-23	IN_FLIGHT-1-20	IN_FLIGHT-4-35	IN_FLIGHT-4-30	IN_FLIGHT-4-28	IN_FLIGHT-4-22	IN_CHARGE-1	IN_FLIGHT-1-21	IN_FLIGHT-2-25	IN_FLIGHT-2-33	IN_FLIGHT-2-26	IN_FLIGHT-1-39	IN_FLIGHT-1-24	IN_FLIGHT-1-31	IN_FLIGHT-1-36	IN_FLIGHT-1-32	IN_FLIGHT-1-34	
40	0	0	20	2	IN_FLIGHT-3-38	IN_FLIGHT-3-30	IN_FLIGHT-3-28	IN_FLIGHT-3-24	IN_FLIGHT-1-21	IN_FLIGHT-4-36	IN_FLIGHT-4-31	IN_FLIGHT-4-29	IN_FLIGHT-4-23	IN_CHARGE-2	IN_FLIGHT-1-22	IN_FLIGHT-2-26	IN_FLIGHT-2-34	IN_FLIGHT-2-27	IN_FLIGHT-1-40	IN_FLIGHT-1-25	IN_FLIGHT-1-32	IN_FLIGHT-1-37	IN_FLIGHT-1-33	IN_FLIGHT-1-35	
41	0	0	20	2	IN_FLIGHT-3-39	IN_FLIGHT-3-31	IN_FLIGHT-3-29	IN_FLIGHT-3-25	IN_FLIGHT-1-22	IN_FLIGHT-4-37	IN_FLIGHT-4-32	IN_FLIGHT-4-30	IN_FLIGHT-4-24	IN_CHARGE-3	IN_FLIGHT-1-23	IN_FLIGHT-2-27	IN_FLIGHT-2-35	IN_FLIGHT-2-28	IN_FLIGHT-1-41	IN_FLIGHT-1-26	IN_FLIGHT-1-33	IN_FLIGHT-1-38	IN_FLIGHT-1-34	IN_FLIGHT-1-36	
42	0	0	20	2	IN_FLIGHT-3-40	IN_FLIGHT-3-32	IN_FLIGHT-3-30	IN_FLIGHT-3-26	IN_FLIGHT-1-23	IN_FLIGHT-4-38	IN_FLIGHT-4-33	IN_FLIGHT-4-31	IN_FLIGHT-4-25	IN_CHARGE-4	IN_FLIGHT-1-24	IN_FLIGHT-2-28	IN_FLIGHT-2-36	IN_FLIGHT-2-29	IN_FLIGHT-1-42	IN_FLIGHT-1-27	IN_FLIGHT-1-34	IN_FLIGHT-1-39	IN_FLIGHT-1-35	IN_FLIGHT-1-37	
43	0	0	20	0	IN_FLIGHT-3-41	IN_FLIGHT-3-33	IN_FLIGHT-3-31	IN_FLIGHT-3-27	IN_FLIGHT-1-24	IN_CHARGE-0	IN_FLIGHT-4-34	IN_FLIGHT-4-32	IN_FLIGHT-4-26	IN_CHARGE-5	IN_FLIGHT-1-25	IN_FLIGHT-2-29	IN_CHARGE-0	IN_FLIGHT-2-30	IN_FLIGHT-1-43	IN_FLIGHT-1-28	IN_FLIGHT-1-35	IN_FLIGHT-1-40	IN_FLIGHT-1-36	IN_FLIGHT-1-38	
44	0	0	20	0	IN_FLIGHT-3-42	IN_FLIGHT-3-34	IN_FLIGHT-3-32	IN_FLIGHT-3-28	IN_FLIGHT-1-25	IN_CHARGE-1	IN_FLIGHT-4-35	IN_FLIGHT-4-33	IN_FLIGHT-4-27	IN_CHARGE-6	IN_FLIGHT-1-26	IN_FLIGHT-2-30	IN_CHARGE-1	IN_FLIGHT-2-31	IN_FLIGHT-1-44	IN_FLIGHT-1-29	IN_FLIGHT-1-36	IN_FLIGHT-1-41	IN_FLIGHT-1-37	IN_FLIGHT-1-39	
45	0	0	20	0	IN_FLIGHT-3-43	IN_FLIGHT-3-35	IN_FLIGHT-3-33	IN_FLIGHT-3-29	IN_FLIGHT-1-26	IN_CHARGE-2	IN_FLIGHT-4-36	IN_FLIGHT-4-34	IN_FLIGHT-4-28	IN_CHARGE-7	IN_FLIGHT-1-27	IN_FLIGHT-2-31	IN_CHARGE-2	IN_FLIGHT-2-32	IN_FLIGHT-1-45	IN_FLIGHT-1-30	IN_FLIGHT-1-37	IN_FLIGHT-1-42	IN_FLIGHT-1-38	IN_FLIGHT-1-40	
